pretrained_embedding,accuracy,loss,train_time,best_valid_acc,epochs_trained,precision,recall,f1
none,0.8022190553745928,0.4913687324756152,8035.377502918243,0.810099573257468,20,0.8,0.8,0.8
glove,0.7697475570032574,0.5657542154386446,8286.64786696434,0.7753505385084333,20,0.77,0.77,0.77
