optimizer,Accuracy,Precision,Recall,F1 Score,Training Time (s)
sgd,0.4741613780598368,0.4980866976826229,0.3952595672670709,0.40899418440241553,497.1321973800659
momentum,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,535.8529939651489
