Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
lstm,0.3556965850710184,0.14250014179570075,0.24017486105128344,0.17773194836213607,21.535881996154785
gru,0.42490178301601694,0.24940345784186718,0.2891281689705557,0.22028469751091245,73.70679068565369
