feature_type,Accuracy,Precision,Recall,F1 Score,Training Time (s)
bow,0.4339679661529163,0.42580172668182836,0.396438290801972,0.40709699671335553,539.8809902667999
binary,0.4342701722574796,0.42546301703040096,0.3976713156672345,0.4078719184271537,559.9359946250916
tfidf,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,572.9495530128479
