Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
None,0.5255364158355998,0.5389826143977492,0.4354492333238931,0.43949688635878825,23.791327238082886
step,0.5089150800846177,0.5572485425184903,0.40932157774003475,0.4153666999218921,31.8525710105896
cosine,0.5324871562405561,0.5538583144268945,0.45086211581353874,0.4670615723650853,22.882444858551025
plateau,0.5234209731036567,0.5604604570931851,0.4284224867941746,0.4328975155511282,21.65333867073059
