learning_rate,Accuracy,Precision,Recall,F1 Score,Training Time (s)
0.001,0.4647929888183741,0.5411052516538545,0.3500870886371303,0.33761471186576336,578.4865486621857
0.01,0.4738591719552735,0.49776670709203985,0.3947749514807256,0.4083706921750915,520.2490129470825
0.05,0.46811725596857057,0.48978232004931443,0.38872703376092677,0.40146742213024567,509.7533941268921
0.1,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,529.9976489543915
0.5,0.45270474463584165,0.48870364076580464,0.38738575989885043,0.39917674307144013,554.891952753067
