model_type,Accuracy,Precision,Recall,F1 Score,Training Time (s)
logistic,0.47990329404653975,0.49528607025307336,0.39903238158661736,0.4050598589131641,366.8561522960663
softmax,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,564.4349853992462
