Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
cnn,0.5255364158355998,0.5389826143977492,0.4354492333238931,0.43949688635878825,18.013511657714844
rnn,0.3022061045633122,0.14604812486451332,0.20065211307904907,0.09510914373302952,20.713587999343872
rcnn,0.5394378966455122,0.5669675181423769,0.4592445447292124,0.4771403050846967,16.460177421569824
