batch_strategy,Accuracy,Precision,Recall,F1 Score,Training Time (s)
full-batch,0.45482018736778485,0.5437462043635821,0.32383819577493,0.28390847749197706,55.21478033065796
stochastic,0.33786642490178304,0.4385352035560537,0.23933600825413773,0.17532827994603342,2337.4831783771515
mini-batch,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,463.56647992134094
