hidden_dim,accuracy,loss,train_time,best_valid_acc,epochs_trained,precision,recall,f1
100,0.7574307817589576,0.5903206413442438,8078.14257311821,0.7639707376549482,20,0.76,0.76,0.76
200,0.7703583061889251,0.5628315134868993,8239.692924976349,0.7707782970940865,20,0.77,0.77,0.77
300,0.7713762214983714,0.5611270248115837,8655.872503042221,0.7777890672627514,20,0.77,0.77,0.77
400,0.7617060260586319,0.5887117145897506,9726.680145978928,0.7659012395854501,20,0.76,0.76,0.76
