max_seq_len,accuracy,loss,train_time,best_valid_acc,epochs_trained,precision,recall,f1
50,0.7709690553745928,0.5596192063062222,8111.0691702365875,0.7789067262751473,20,0.77,0.77,0.77
100,0.7697475570032574,0.5657542154386446,8088.1203825473785,0.7753505385084333,20,0.77,0.77,0.77
150,0.7705618892508144,0.5636717077199515,8675.619699001312,0.7740296687665109,20,0.77,0.77,0.77
200,0.7650651465798045,0.5845061664457445,8885.533671855927,0.7669172932330827,20,0.77,0.77,0.76
