ngram,Accuracy,Precision,Recall,F1 Score,Training Time (s)
"(1,1)",0.4638863705046842,0.4635239939403277,0.39988417217868844,0.4139720244745709,522.9191715717316
"(1,2)",0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,484.46943402290344
"(1,3)",0.46932608038682383,0.5197297620597412,0.3695177156124001,0.37307063631303716,475.4324908256531
"(2,2)",0.39558779087337564,0.3729852077952194,0.31826078249588285,0.3214430311239161,572.854288816452
"(2,3)",0.4049561801148383,0.3948257021245105,0.30337052990579,0.2914275922692412,575.4103310108185
