regularization,Accuracy,Precision,Recall,F1 Score,Training Time (s)
None,0.433665760048353,0.4204659079668465,0.39611818503316215,0.40524974413477377,527.7224705219269
l1,0.4557268056814748,0.44755297526308596,0.3945063677640773,0.4072338710447986,560.4044847488403
l2,0.46751284375944396,0.49495562229877327,0.3849232135447999,0.39720614757727707,486.9013831615448
