Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
adam,0.5255364158355998,0.5389826143977492,0.4354492333238931,0.43949688635878825,25.043814182281494
sgd,0.4877606527651859,0.5417176219703661,0.37712428577609247,0.3717075564972657,75.61831378936768
