Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
"1,2,3",0.5255364158355998,0.5389826143977492,0.4354492333238931,0.43949688635878825,22.31023645401001
"2,3,4",0.5255364158355998,0.528902089240714,0.4549794785607452,0.46727358288986603,21.335915088653564
"3,4,5",0.5137503777576307,0.5342235729862995,0.4532911391665004,0.47060940442239135,22.03498387336731
"2,4,6",0.5240253853127833,0.5200841258121367,0.45011414953861567,0.45190079632246594,20.130470991134644
"3,5,7",0.5134481716530674,0.5199587177207354,0.4634123357380863,0.47300924922086995,21.109236240386963
