Parameter Value,Accuracy,Precision,Recall,F1 Score,Training Time (s)
50,0.5128437594439408,0.534900709075935,0.43578911075127813,0.4532151769328291,24.65156579017639
100,0.5282562707766697,0.5507703246517078,0.43591599506641865,0.43178607521086965,21.655035257339478
150,0.5267452402538532,0.5277227453206036,0.46404461780742556,0.47240318670986897,20.08977699279785
200,0.5409489271683288,0.5441273483833943,0.4641628258689929,0.47836849602802445,20.294967889785767
